sample_id,coupang_product_id,iherb_product_code,coupang_product_name,iherb_product_name,original_similarity_score,coupang_image_path,iherb_image_path,both_images_available,processed_at,image_comparison_success,image_match_result,image_match_reason,coupang_ocr_text,iherb_ocr_text,coupang_extracted_fields,iherb_extracted_fields
1,3272617402,NOW-02926,"나우푸드 프로바이오틱-10 유산균 250억 베지 캡슐, 50정","NOW Foods, Probiotic-10, 25 Billion, 50 Veg Capsules",1.053,../coupang_images/coupang_3272617402.jpg,image_experiment_results/iherb_images/iherb_01_NOW-02926.jpg,True,2025-09-09T12:16:36.704189,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"nour
4 a
ro
PaProbioticzi0mnH
25Billionin1
x-

Ne
A i
Probiotic-10
25Billion 5
eles
a
","T)
ee
i
ee 3
PAProbioticgOmmae
25)Billion) oF
O-ProbloticStrains)
Bc2ithyntestinalFlieg
SDairvroov NT w

f .
4 4 s
Probiotic-10
25Billion a
i 10ProbioticStrains
HealthyIntestinalFlora
Dairy.SoyGlutenF...","Fields(brand='', core='probiotic', strength='25 billion', form='', count='', strength_val=25.0, strength_unit='billion')","Fields(brand='', core='probiotic', strength='25 billion', form='', count='', strength_val=25.0, strength_unit='billion')"
2,3276044404,NOW-01486,"나우푸드 셀레늄 200mcg 베지 캡슐, 180정","NOW Foods, Selenium, 200 mcg, 180 Veg Capsules",0.9,../coupang_images/coupang_3276044404.jpg,image_experiment_results/iherb_images/iherb_02_NOW-01486.jpg,True,2025-09-09T12:16:46.083293,True,False,함량/수치 다름 (200 mcg vs 2001 mcg),"00.med
EE

new
Selenium
200mcg
Geet
180vonCapuss
","Ve 7
Be Ca
2001McG)

) sh) be
Selenium
200mcg
ential Mineral)
YeastFree
180VegCapsules
ADietarySupplementVegetarian/Vege
al
","Fields(brand='', core='', strength='200 mcg', form='', count='', strength_val=200.0, strength_unit='mcg')","Fields(brand='', core='', strength='2001 mcg', form='', count='', strength_val=2001.0, strength_unit='mcg')"
3,3088278161,NOW-02970,"나우푸드 츄어블 파파야 효소 로젠지, 180정","NOW Foods, Chewable Papaya Enzymes, 180 Lozenges",1.013,,image_experiment_results/iherb_images/iherb_03_NOW-02970.jpg,False,2025-09-09T12:16:55.982815,,,,,,,
4,72406188389,NOW-08062,"나우푸드 솔루션 글루타티온 스킨 브라이트너 크림, 59ml","NOW Foods, Solutions, Glutathione Skin Brightener Cream, 2 fl oz (59 ml)",1.001,../coupang_images/coupang_72406188389.jpg,image_experiment_results/iherb_images/iherb_04_NOW-08062.jpg,True,2025-09-09T12:17:03.451601,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"
","ronowS
solutians wi
Ewe
ito
co
ea)
O%
eesnt

u
pnowy
+(eeyririm
","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)"
5,3272621520,NOW-07520,"나우푸드 퓨어 에센셜 아로마오일, 30ml, Camphor","NOW Foods, Essential Oils, Camphor, 1 fl oz (30 ml)",0.909,../coupang_images/coupang_3272621520.jpg,image_experiment_results/iherb_images/iherb_05_NOW-07520.jpg,True,2025-09-09T12:17:11.862980,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"Row.
rmrntiol.oth
N
1008%owre
camphor
Ll-be

now
wentialoib
RK
mphor
","/mowe
essentialoils-
( i
- -
De
CAE
(
100%pure
camphor
Cinnamomumcamphore
i Net2f1.ox.(30mt)

nou
essentialoils
100%pure
camphor
","Fields(brand='now foods', core='', strength='', form='', count='', strength_val=None, strength_unit=None)","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)"
6,3086381389,NOW-02972,"나우푸드 츄어블 파파야 효소 로젠지, 360정","NOW Foods, Chewable Papaya Enzymes, 360 Lozenges",0.92,../coupang_images/coupang_3086381389.jpg,image_experiment_results/iherb_images/iherb_06_NOW-02972.jpg,True,2025-09-09T12:17:20.732171,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"z nowy
Enzymesm

7.
r Chewable q
yPapaya
Enzymes
ee
","Oe
vaePapayame
if
/comeej
Eeb

E
y
f
s e
i) FA fem
f
ee
bs 4
. 5
tf Chewable i
wPapaya
E
yEnzymesj
DigestiveSupport
WithMintandChlorophyll
SupportsProteinDigestion
360Lozenges
ADietarySupplement
al
","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)"
7,3086380672,NOW-02171,"Now Foods 스포츠 트리뷸러스 1000mg 타블렛, One Size","NOW Foods, Sports, Tribulus, 1,000 mg, 90 Tablets",0.999,../coupang_images/coupang_3086380672.jpg,image_experiment_results/iherb_images/iherb_07_NOW-02171.jpg,True,2025-09-09T12:17:28.280319,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"f
j 1000mg..
StandardinedExtret
LS Minimas45%Sepenit
S.1e0Tabiets

ripull
","BD
SSROETS
BeRMENSHEALTHSIR
S8
90TABLETS 4
ADietarySupplement i

f 4
f J
a
TRIBULUG-
g
UOC) an)
x
30TABLETS g
ADietarySupplement
","Fields(brand='', core='', strength='1000 mg', form='', count='', strength_val=1000.0, strength_unit='mg')","Fields(brand='', core='', strength='', form='', count='90 tablets', strength_val=None, strength_unit=None)"
8,3086430229,NOW-04970,"나우푸드 바레리안 루트 추출물, 60ml","NOW Foods, Valerian Root Extract, 2 fl oz (59 ml)",0.914,,image_experiment_results/iherb_images/iherb_08_NOW-04970.jpg,False,2025-09-09T12:17:35.425986,,,,,,,
9,3086436879,NOW-02137,"나우푸드 스포츠 D-리보스 파우더, 113g","NOW Foods, Sports, D-Ribose Powder, 1 lb (454 g)",0.937,,image_experiment_results/iherb_images/iherb_09_NOW-02137.jpg,False,2025-09-09T12:17:44.384747,,,,,,,
10,3086644711,NOW-04706,"나우푸드 그린 티 추출물 400mg 베지 캡슐, 250정","NOW Foods, Green Tea Extract, 400 mg, 250 Veg Capsules",0.929,../coupang_images/coupang_3086644711.jpg,image_experiment_results/iherb_images/iherb_10_NOW-04706.jpg,True,2025-09-09T12:17:52.472421,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"es
fyaGreenTealal
Extract

5now
ton
yGreenTea
Extract
400.mg
en 2
We
","( noni
uN - nos alee
Ma Greeniledmae
4005ma)
PRESET
Bi250.VegCopsclesimmmrg

ney
Rs S
Is is
N -
ri)
GreenTea
Extract
400mg
CellularProtection
-PotentFreeRadicalScavenger
AntioxidantPowerofVitaminC
250...","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)","Fields(brand='', core='', strength='400 mg', form='', count='', strength_val=400.0, strength_unit='mg')"
11,3087575926,NOW-00528,"나우푸드 이노시톨 파우더 비건, 227g","NOW Foods, Inositol Powder, 8 oz (227 g)",0.905,../coupang_images/coupang_3087575926.jpg,image_experiment_results/iherb_images/iherb_11_NOW-00528.jpg,True,2025-09-09T12:18:00.878905,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"(
row.
po
Owe
2

7Inositol
yPowder
","SS
Inosito
Powder

5 1
I 6
yInositol
Powder
CellularHealth
Supports HealthyMembraneFunction
Myo-InositolForm
NETWT.8OZ.(227g)
ADietarySupplementVegetarian/Veg2
","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)","Fields(brand='', core='', strength='227 g', form='', count='', strength_val=227.0, strength_unit='g')"
12,3086380672,NOW-02171,"Now Foods 스포츠 트리뷸러스 1000mg 타블렛, One Size","NOW Foods, Sports, Tribulus, 1,000 mg, 90 Tablets",0.908,../coupang_images/coupang_3086380672.jpg,image_experiment_results/iherb_images/iherb_12_NOW-02171.jpg,True,2025-09-09T12:18:07.153898,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"f
j 1000mg..
StandardinedExtret
LS Minimas45%Sepenit
S.1e0Tabiets

ripull
","BD
SSROETS
BeRMENSHEALTHSIR
S8
90TABLETS 4
ADietarySupplement i

f 4
f J
a
TRIBULUG-
g
UOC) an)
x
30TABLETS g
ADietarySupplement
","Fields(brand='', core='', strength='1000 mg', form='', count='', strength_val=1000.0, strength_unit='mg')","Fields(brand='', core='', strength='', form='', count='90 tablets', strength_val=None, strength_unit=None)"
13,3086579151,NOW-00260,"나우푸드 타우린 퓨어 파우더, 227g","NOW Foods, Taurine Pure Powder, 8 oz (227 g)",0.986,../coupang_images/coupang_3086579151.jpg,image_experiment_results/iherb_images/iherb_13_NOW-00260.jpg,True,2025-09-09T12:18:14.679099,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"Aoki
Ser.
ey)

5)now

ut

be
Taurine
","soRQr
Reale

I j
Cee e
j e a bem
Hy
eae
e4 i
ad
e
yTaurine
PurePowder
(NeroussystemHealth)
HealthyVisualFunction
NetWt.8oz.(227g)
ADietarySupplementVegetarian/Veg2
ad
","Fields(brand='now foods', core='', strength='', form='', count='', strength_val=None, strength_unit=None)","Fields(brand='', core='', strength='227 g', form='', count='', strength_val=227.0, strength_unit='g')"
14,88992899099,NOW-04791,"나우푸드 사프론 50mg 베지 캡슐, 60정","NOW Foods, Saffron, 50 mg, 60 Veg Capsules",0.905,../coupang_images/coupang_88992899099.jpg,image_experiment_results/iherb_images/iherb_14_NOW-04791.jpg,True,2025-09-09T12:18:23.389269,True,False,함량/수치 다름 (60 mg vs 502 mg),"eo
Saffron
60mg)
a
Na

.AOWwW
ste
Saffron
50mg
a
","1 at a
3 )
yROUW
K Ve
hae
(/SEVTON
502mg

ney
50mg

MoodSupport
MayHelpMaintainaPositive
MoodandRelaxedAttitude
WholeStigma10%Crocins

60VegCapsules
ADietarySupplementVegetarisn/Veoot

at
","Fields(brand='', core='', strength='60 mg', form='', count='', strength_val=60.0, strength_unit='mg')","Fields(brand='', core='', strength='502 mg', form='', count='', strength_val=502.0, strength_unit='mg')"
15,3087575908,NOW-00529,"나우푸드 이노시톨 파우더 비건, 454g","NOW Foods, Inositol Powder, 1 lb (454 g)",0.921,../coupang_images/coupang_3087575908.jpg,image_experiment_results/iherb_images/iherb_15_NOW-00529.jpg,True,2025-09-09T12:18:32.197296,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"ty
Lg
Ss
nosito))
Powder

wwInositol
t Powder
","/ROSK
weemPowde
Sam SAE ction

ad

i Es

k iss

j d

s

wInosito

N

wPowder

CellularHealth

SupportsHealthyMembraneFunction
Myo-InositolForm
NETWT.1LB.(454g)
ADietarySupplementVegetariaa/Vepan
","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)","Fields(brand='', core='', strength='454 g', form='', count='', strength_val=454.0, strength_unit='g')"
16,88994202134,NOW-02226,"나우푸드 스포츠 베타인 파우더, 170g","NOW Foods, Sports, Betaine Powder, 6 oz (170 g)",0.981,,image_experiment_results/iherb_images/iherb_16_NOW-02226.jpg,False,2025-09-09T12:18:41.123929,,,,,,,
17,3086587278,NOW-00145,"나우푸드 L-테아닌 100mg 베지 캡슐 비건, 90정","NOW Foods, L-Theanine, 100 mg, 90 Veg Capsules",0.996,../coupang_images/coupang_3086587278.jpg,image_experiment_results/iherb_images/iherb_17_NOW-00145.jpg,True,2025-09-09T12:18:49.395855,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"a

(

4 (

Lyemouy

KEAN

Ay)

)
4

enow
Ne
i) .
L-Theanine
100mg
Seen
","10MM
iy
CoTheanine
iOOfmG)
x Rodigum

l
t 9
t
(OX
s
.
L-Theanine
100mg
StressManagement
+PromotesRelaxation
HealthyVascularFunction
WithDecafGreenTea
90VegCapsules
ACletarySupplementVegetarian/Vegs
Ot...","Fields(brand='', core='', strength='100 mg', form='', count='', strength_val=100.0, strength_unit='mg')","Fields(brand='', core='', strength='100 mg', form='', count='', strength_val=100.0, strength_unit='mg')"
18,3086381328,NOW-03054,"나우푸드 베타-1:3/1:6-D-글루칸 100mg 베지 캡슐, 90정","NOW Foods, Beta-1,3/1,6-D-Glucan, 100 mg, 90 Veg Capsules",0.913,,image_experiment_results/iherb_images/iherb_18_NOW-03054.jpg,False,2025-09-09T12:18:57.543049,,,,,,,
19,3113962231,NOW-02305,"나우푸드 아스타잔틴 4mg 소프트젤, 90정","NOW Foods, Astaxanthin, 4 mg, 90 Softgels",0.9,../coupang_images/coupang_3113962231.jpg,image_experiment_results/iherb_images/iherb_19_NOW-02305.jpg,True,2025-09-09T12:19:05.085758,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),". now.

new
Ri
Astaxanthin
4mg
90Softgels
","oo iY

ey i
OG)
205oftgels

f i
t
A er e
a nem
t -
yAstaxanthin
CellularProtection
PotentFreeRadicalNeutralizer
SupportsBalancedImmune
SystemResponses
90Softgels
ADietarySupplement
","Fields(brand='now foods', core='', strength='4 mg', form='', count='90 softgels', strength_val=4.0, strength_unit='mg')","Fields(brand='', core='', strength='', form='', count='90 softgels', strength_val=None, strength_unit=None)"
20,3216110985,NOW-00265,"나우푸드 L-티로신 퓨어 파우더, 113g","NOW Foods, L-Tyrosine Pure Powder, 4 oz (113 g)",0.994,,image_experiment_results/iherb_images/iherb_20_NOW-00265.jpg,False,2025-09-09T12:19:14.206213,,,,,,,
21,3086435609,NOW-04612,"나우푸드 빌베리 컴플렉스 80mg 베지 캡슐 글루텐 프리, 100정","NOW Foods, Bilberry Complex, 100 Veg Capsules",0.807,../coupang_images/coupang_3086435609.jpg,image_experiment_results/iherb_images/iherb_21_NOW-04612.jpg,True,2025-09-09T12:19:21.868036,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"yMOU

VABilberryal
Comple

t )

we

cS
Bilberry
Complex
","an F

C5

sd
f .
a avs a f
Veciny
Consinx
BNC...

f .
y
f
e
q i.
Bilberry
FreeRadicalScavenger
80mgStandardizedExtract
WithBeta-CaroteneRiboflevin
100VegCapsules
ADietarySupplementVagetarian/Veg
","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)","Fields(brand='', core='', strength='', form='veg capsules', count='', strength_val=None, strength_unit=None)"
